display_power=0
Wifi, Bluetooth, and HDMI are now blocked.
This code has been tested for python version 3.11.6, your version is: 3.11.2 (main, Mar 13 2023, 12:18:29) [GCC 12.2.0]
Listening to IP address,  192.168.100.220  and port  50000
You are using a UNIX-based system.
Assuming firmware version:  1240
Num packets received is  360000 0.0012381519317626953 31 359969
Num packets received is  365000 0.0012455394744873046 135 364865
Num packets received is  370000 0.0012381522178649903 111 369889
Num packets received is  375000 0.0012381514072418213 87 374913
Num packets received is  380000 0.0012381518840789796 95 379905
Num packets received is  385000 0.0012455403327941894 39 384961
Num packets received is  390000 0.0012381534576416016 47 389953
Num packets received is  395000 0.0012381506443023681 87 394913
Num packets received is  400000 0.0012381520271301269 95 399905
Num packets received is  405000 0.001245539426803589 7 404993
Num packets received is  410000 0.0012381531715393067 15 409985
Num packets received is  415000 0.0012382608413696288 47 414953
Num packets received is  420000 0.001238041353225708 159 419841
Num packets received is  425000 0.0012455843448638917 103 424897
Num packets received is  430000 0.001238106632232666 111 429889
Num packets received is  435000 0.0012381518363952636 23 434977
Num packets received is  440000 0.0012381525993347168 31 439969
Num packets received is  445000 0.0012455396652221679 7 444993
Num packets received is  450000 0.001238153314590454 143 449857
Num packets received is  455000 0.0012381520271301269 119 454881
Num packets received is  460000 0.0012381512641906737 31 459969
Num packets received is  465000 0.0012455407619476318 71 464929
Num packets received is  470000 0.0012381523609161376 15 469985
Num packets received is  475000 0.0012382927417755128 31 474969
Num packets received is  480000 0.0012380253791809083 152 479848
Num packets received is  485000 0.0012456010818481446 154 484846
Num packets received is  490000 0.0012380716323852538 47 489953
Num packets received is  495000 0.0012383879661560058 146 494854
Num packets received is  500000 0.0012379160404205323 159 499841
Num packets received is  505000 0.0012455328464508056 135 504865
Num packets received is  510000 0.0012381526947021484 111 509889
Num packets received is  515000 0.0012381515026092529 87 514913
Num packets received is  520000 0.0012381511688232421 31 519969
Num packets received is  525000 0.001245985746383667 129 524871
Num packets received is  530000 0.0012377081871032716 15 529985
Num packets received is  535000 0.0012381619930267333 63 534937
Num packets received is  540000 0.0012381403923034668 159 539841
Num packets received is  545000 0.0012455397605895997 135 544865
Num packets received is  550000 0.0012381490707397461 111 549889
Num packets received is  555000 0.0012381514549255372 87 554913
Num packets received is  560000 0.001238153076171875 95 559905
Num packets received is  565000 0.001245539951324463 103 564897
Num packets received is  570000 0.001238152265548706 111 569889
Num packets received is  575000 0.001238151216506958 151 574849
Num packets received is  580000 0.001238153076171875 127 579873
Num packets received is  585000 0.0012455396652221679 135 584865
Num packets received is  590000 0.0012381514072418213 47 589953
Num packets received is  595000 0.001238151788711548 55 594945
Num packets received is  600000 0.0012382221221923827 31 599969
Num packets received is  605000 
